[0418/174152.730:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0419/150931.228:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/150936.269:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/150941.280:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/150946.284:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/150951.295:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/150956.307:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/151001.310:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/151006.327:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/151011.347:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/151016.362:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/151021.376:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/151026.387:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/151031.402:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/151036.411:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/151041.426:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/151046.443:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/151051.454:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/151056.468:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/151101.488:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/151106.499:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/151111.516:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
